#zip,1999-2003 Cases of Female Breast Cancer
NY10501,13
NY10502,24
NY10504,32
NY10506,36
NY10507,16
NY10510,51
NY10511,12
NY10514,55
NY10520,60
NY10522,50
NY10523,22
NY10526,14
NY10527,3
NY10528,52
NY10530,82
NY10532,34
NY10533,32
NY10535,3
NY10536,35
NY10537,6
NY10538,98
NY10541,78
NY10543,65
NY10546,6
NY10547,31
NY10548,19
NY10549,68
NY10550,129
NY10552,92
NY10553,42
NY10560,14
NY10562,121
NY10566,81
NY10567,69
NY10570,61
NY10573,130
NY10576,18
NY10577,16
NY10580,92
NY10583,196
NY10589,72
NY10590,31
NY10591,69
NY10594,20
NY10595,32
NY10597,6
NY10598,123
NY10601,37
NY10603,75
NY10604,29
NY10605,99
NY10606,50
NY10607,27
NY10701,190
NY10703,73
NY10704,105
NY10705,109
NY10706,45
NY10708,125
NY10709,95
NY10710,139
NY10801,145
NY10803,42
NY10804,91
NY10805,81
