sumlev,state,region,division,name,popestimate2009,popest18plus2009,PCNT_POPEST18PLUS
010,00,0,0,United States,307006550,232458335,75.7
040,01,3,6,Alabama,4708708,3579844,76
040,02,4,9,Alaska,698473,514927,73.7
040,04,4,8,Arizona,6595778,4863759,73.7
040,05,3,7,Arkansas,2889450,2179482,75.4
040,06,4,9,California,36961664,27525982,74.5
040,08,4,8,Colorado,5024748,3796985,75.6
040,09,1,1,Connecticut,3518288,2710303,77
040,10,3,5,Delaware,885122,678129,76.6
040,11,3,5,District of Columbia,599657,485621,81
040,12,3,5,Florida,18537969,14480196,78.1
040,13,3,5,Georgia,9829211,7245419,73.7
040,15,4,9,Hawaii,1295178,1004817,77.6
040,16,4,8,Idaho,1545801,1126611,72.9
040,17,2,3,Illinois,12910409,9733032,75.4
040,18,2,3,Indiana,6423113,4833748,75.3
040,19,2,4,Iowa,3007856,2294701,76.3
040,20,2,4,Kansas,2818747,2113796,75
040,21,3,6,Kentucky,4314113,3299790,76.5
040,22,3,7,Louisiana,4492076,3368690,75
040,23,1,1,Maine,1318301,1047125,79.4
040,24,3,5,Maryland,5699478,4347543,76.3
040,25,1,1,Massachusetts,6593587,5160585,78.3
040,26,2,3,Michigan,9969727,7619835,76.4
040,27,2,4,Minnesota,5266214,4005417,76.1
040,28,3,6,Mississippi,2951996,2184254,74
040,29,2,4,Missouri,5987580,4556242,76.1
040,30,4,8,Montana,974989,755161,77.5
040,31,2,4,Nebraska,1796619,1344978,74.9
040,32,4,8,Nevada,2643085,1962052,74.2
040,33,1,1,New Hampshire,1324575,1035504,78.2
040,34,1,2,New Jersey,8707739,6661891,76.5
040,35,4,8,New Mexico,2009671,1499433,74.6
040,36,1,2,New York,19541453,15117370,77.4
040,37,3,5,North Carolina,9380884,7102917,75.7
040,38,2,4,North Dakota,646844,502873,77.7
040,39,2,3,Ohio,11542645,8828304,76.5
040,40,3,7,Oklahoma,3687050,2768201,75.1
040,41,4,9,Oregon,3825657,2952846,77.2
040,42,1,2,Pennsylvania,12604767,9829635,78
040,44,1,1,Rhode Island,1053209,826384,78.5
040,45,3,5,South Carolina,4561242,3480510,76.3
040,46,2,4,South Dakota,812383,612767,75.4
040,47,3,6,Tennessee,6296254,4803002,76.3
040,48,3,7,Texas,24782302,17886333,72.2
040,49,4,8,Utah,2784572,1915748,68.8
040,50,1,1,Vermont,621760,495485,79.7
040,51,3,5,Virginia,7882590,6035408,76.6
040,53,4,9,Washington,6664195,5094603,76.4
040,54,3,5,West Virginia,1819777,1433328,78.8
040,55,2,3,Wisconsin,5654774,4344524,76.8
040,56,4,8,Wyoming,544270,412245,75.7
040,72,X,X,Puerto Rico Commonwealth,3967288,3003441,75.7
